country_uuid,country,last_update
5ce45621-3bd0-4c8b-add7-1450a71487ac,Liechtenstein,"2024-08-25 13:39:33"
63e2ce20-ac3c-46e6-a597-675caf8f246c,India,"2024-08-25 13:39:33"
6537e8c9-1fbb-4983-90f6-4210c3e30e42,"Virgin Islands, U.S.","2024-08-25 13:39:33"
6760c183-47ab-4bc9-9ea3-6e3fdabab965,"Faroe Islands","2024-08-25 13:39:33"
6adf9463-5d55-4357-a58c-2dc1e752211c,Lithuania,"2024-08-25 13:39:33"
70e8c413-a91e-4b1f-960c-a8069479f946,"United Kingdom","2024-08-25 13:39:33"
71036662-18dd-453e-9f10-13d74318fd7a,Turkmenistan,"2024-08-25 13:39:33"
728ab1f9-3dd3-498f-a8af-f6f3c940c68d,Myanmar,"2024-08-25 13:39:33"
77a5adb2-03fa-40e7-8044-ca8a56a8a48a,Réunion,"2024-08-25 13:39:33"
7995b8b4-94ca-40d1-91f8-869cb740e6ec,Germany,"2024-08-25 13:39:33"
7bf36b79-c53e-4330-b4d8-33ddc9d0eaab,Morocco,"2024-08-25 13:39:33"
7d65e5a6-0d85-4b41-a0bd-f95106333823,Egypt,"2024-08-25 13:39:33"
80ad0da0-13e4-4889-b5a3-c694e558a1b4,Greenland,"2024-08-25 13:39:33"
80c967d6-bcfe-4451-8157-fc1276af9c35,Afghanistan,"2024-08-25 13:39:33"
80db55ca-587f-44a3-bb5e-8e577bb3f173,Israel,"2024-08-25 13:39:33"
856f079f-0740-4c84-9ec4-9a9b5342e4de,Thailand,"2024-08-25 13:39:33"
86975845-a95e-4e9b-86fe-ba0f33122bdd,Peru,"2024-08-25 13:39:33"
88340714-7878-4ea6-9c1f-97174e1d57d8,"Saint Vincent and the Grenadines","2024-08-25 13:39:33"
8889ca24-dbd5-48eb-bcd0-9e38edef2640,Netherlands,"2024-08-25 13:39:33"
899cf4cf-3c49-425d-adec-9d13ad9e1dc6,Madagascar,"2024-08-25 13:39:33"
8bf68fc2-3b44-4d20-b1ba-5459b98e8e11,Taiwan,"2024-08-25 13:39:33"
900627db-49fd-4fb9-98a3-c96b415c831f,"Puerto Rico","2024-08-25 13:39:33"
90e83933-ca94-46f5-a2f1-642339889753,China,"2024-08-25 13:39:33"
91a1f6c4-050f-45b2-9674-530345faa77e,Hungary,"2024-08-25 13:39:33"
91f61a99-a5a0-4ed5-a3be-d8fcddd262d8,Cambodia,"2024-08-25 13:39:33"
9382e5e8-c172-44eb-a465-6dd72780c47b,Finland,"2024-08-25 13:39:33"
93a0fe52-21b4-463a-b831-8a1069f086c1,Bulgaria,"2024-08-25 13:39:33"
93b36321-d246-4a29-9812-174c2cfea98b,"Czech Republic","2024-08-25 13:39:33"
9941e842-ceca-45de-9bc0-f9ae1c9163df,Bolivia,"2024-08-25 13:39:33"
995d06bc-2156-4804-8c18-712d0d48cfcd,Italy,"2024-08-25 13:39:33"
9b2e548b-4a0e-4c7f-80d4-bd04c4997f55,Spain,"2024-08-25 13:39:33"
9e496936-be09-480b-84bc-83ebb1be9f0e,Ecuador,"2024-08-25 13:39:33"
9fc9de6c-b9c6-4703-9b14-dd1b62cbe0e6,"Congo, The Democratic Republic of the","2024-08-25 13:39:33"
a08765b6-9896-4d99-a1b6-b12ab236a4c0,Malaysia,"2024-08-25 13:39:33"
a7cafc8b-ef44-49f1-9afd-529e88771cce,Colombia,"2024-08-25 13:39:33"
a8a73d66-37b3-4c00-a24b-5e23bcbbe52b,Latvia,"2024-08-25 13:39:33"
ae8e924e-d1d4-44e1-85d4-54db28b9885c,Azerbaijan,"2024-08-25 13:39:33"
b192e525-f443-4d22-a180-9ec0980fd703,"North Korea","2024-08-25 13:39:33"
b39e96cb-6aa1-4149-b9ef-c644d2cb80db,Chile,"2024-08-25 13:39:33"
b486febb-a77b-49b2-9d19-eca8675fc40e,Brunei,"2024-08-25 13:39:33"
b84d51ab-560d-4928-a6e6-0feef5a37763,Kuwait,"2024-08-25 13:39:33"
bd6692d8-e3ba-4020-b2b9-b8649e04ef8a,Chad,"2024-08-25 13:39:33"
bec18263-47b0-43f5-9d6b-b805ec528b80,Iran,"2024-08-25 13:39:33"
c30f2e4b-59d8-4fda-8c66-23bc773aa664,Canada,"2024-08-25 13:39:33"
c380bfa8-d10c-4d2d-a655-2492a75c42fd,Indonesia,"2024-08-25 13:39:33"
c54cb78a-6f18-4a69-a6da-cf891071719e,Brazil,"2024-08-25 13:39:33"
c7711a0c-ddfd-4bec-9ce3-81ccceb91ac3,Romania,"2024-08-25 13:39:33"
cdc8e979-783f-49b8-bf0d-570be9f93b03,Algeria,"2024-08-25 13:39:33"
d0a6e9e5-a7ea-48c1-b5f0-f036b86135fa,Estonia,"2024-08-25 13:39:33"
d21550c4-7003-43d8-bc09-a5adbbcf8015,Argentina,"2024-08-25 13:39:33"
d2dd6862-56d0-441c-ab94-bedc6af1ecfd,Oman,"2024-08-25 13:39:33"
d483795b-4820-40c7-b8d4-d53114ea07a8,"United States","2024-08-25 13:39:33"
d65f34ef-0003-40d0-8773-d8b368e05763,Philippines,"2024-08-25 13:39:33"
d8e33825-e788-4fde-af1b-3f5c6265ea6c,Gambia,"2024-08-25 13:39:33"
d99f7231-ca88-486f-81a8-9d3068438759,"South Korea","2024-08-25 13:39:33"
da7f482a-3387-40f2-a6ad-fec542351384,"Hong Kong","2024-08-25 13:39:33"
ddc282f2-3d7f-4370-bd97-cb6c13c49dea,Austria,"2024-08-25 13:39:33"
e044ef9d-e3da-487a-8931-07179088016a,Vietnam,"2024-08-25 13:39:33"
e18aae4d-b0db-4f97-94f4-4694b821ae5d,Moldova,"2024-08-25 13:39:33"
e6d080bb-b109-468a-bc04-4790c46253e5,Nigeria,"2024-08-25 13:39:33"
ee98bbe4-4c5d-4e18-aa97-2c8f65667de0,Slovakia,"2024-08-25 13:39:33"
f10666aa-7c05-4141-b2b3-f404c39a5901,Belarus,"2024-08-25 13:39:33"
f2385f59-fc78-4ea1-afde-529223acc69b,"Holy See (Vatican City State)","2024-08-25 13:39:33"
f4b6a929-cae1-4092-9284-b0cced427d31,France,"2024-08-25 13:39:33"
f5310d9d-cfd2-4d17-84c3-9d6a12b33c61,Australia,"2024-08-25 13:39:33"
f7bdbdc4-b6a6-4ce2-89f1-9c358c5a90a1,Mexico,"2024-08-25 13:39:33"
f816194f-6489-4822-ba1c-e769e0a3778b,Venezuela,"2024-08-25 13:39:33"
f85ba440-1e12-4756-be1b-095beca08c2c,"Sri Lanka","2024-08-25 13:39:33"
fb3af481-a178-4767-a0eb-4817428a8607,Sweden,"2024-08-25 13:39:33"
fe7ac9d2-9256-45aa-8864-a258abdabed4,Tuvalu,"2024-08-25 13:39:33"
fe96461c-97a4-4c1e-8027-da175a1c4373,Tonga,"2024-08-25 13:39:33"
